Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 20-Sep-2022 at 15:19:45.
Created 20-Sep-2022 15:19:45.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.67987E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.9750	 	 	 	 	 0.012501
 1.0000	-0.021765	-0.554538	-0.006231	-0.078549	 0.100233


 -------- Mode No.  11  (freq = 0.16853E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000892
 0.0500	 0.000240	 0.009183	-0.000524	-0.020012	-0.001775
 0.0750	 	 	 	 	-0.003403
 0.1000	 0.000938	 0.018290	-0.001968	-0.037112	-0.004968
 0.1250	 	 	 	 	-0.008013
 0.1500	 0.001993	 0.023211	-0.004086	-0.046488	-0.010755
 0.1750	 	 	 	 	-0.013859
 0.2000	 0.003048	 0.018607	-0.006224	-0.038630	-0.016089
 0.2250	 	 	 	 	-0.021742
 0.2500	 0.003589	 0.002559	-0.007535	-0.013253	-0.022679
 0.2750	 	 	 	 	-0.015011
 0.3000	 0.003176	-0.018985	-0.007294	 0.023457	 0.001101
 0.3250	 	 	 	 	 0.026260
 0.3500	 0.001791	-0.035730	-0.005217	 0.060215	 0.055454
 0.3750	 	 	 	 	 0.088337
 0.4000	-0.000096	-0.038638	-0.001571	 0.086088	 0.117407
 0.4250	 	 	 	 	 0.141462
 0.4500	-0.001633	-0.021820	 0.002884	 0.092359	 0.154890
 0.4750	 	 	 	 	 0.156839
 0.5000	-0.001853	 0.012773	 0.007011	 0.072468	 0.146471
 0.5250	 	 	 	 	 0.122354
 0.5500	-0.000276	 0.047273	 0.009490	 0.026199	 0.091263
 0.5750	 	 	 	 	 0.049467
 0.6000	 0.002302	 0.050442	 0.009091	-0.042408	 0.013423
 0.6250	 	 	 	 	-0.019650
 0.6500	 0.003689	 0.001959	 0.005062	-0.117518	-0.033304
 0.6750	 	 	 	 	-0.026097
 0.7000	 0.001805	-0.070246	-0.002034	-0.163132	-0.000607
 0.7250	 	 	 	 	 0.043667
 0.7500	-0.002027	-0.068253	-0.009853	-0.145595	 0.082698
 0.7750	 	 	 	 	 0.112597
 0.8000	-0.003106	 0.029145	-0.014795	-0.048966	 0.111484
 0.8250	 	 	 	 	 0.069614
